PERMNO,date,TICKER,RET,RETX
11850,31-01-2014,XOM,-0.089328,-0.089328
11850,28-02-2014,XOM,0.051432,0.044596
11850,31-03-2014,XOM,0.014646,0.014646
11850,30-04-2014,XOM,0.048423,0.048423
11850,30-05-2014,XOM,-0.01162,-0.018358
11850,30-06-2014,XOM,0.001492,0.001492
11850,31-07-2014,XOM,-0.017282,-0.017282
11850,29-08-2014,XOM,0.01223,0.005256
11850,30-09-2014,XOM,-0.054394,-0.054394
11850,31-10-2014,XOM,0.028283,0.028283
11850,28-11-2014,XOM,-0.056664,-0.063799
11850,31-12-2014,XOM,0.021096,0.021096
11850,30-01-2015,XOM,-0.054408,-0.054408
11850,27-02-2015,XOM,0.020705,0.012812
11850,31-03-2015,XOM,-0.039982,-0.039982
11850,30-04-2015,XOM,0.027882,0.027882
11850,29-05-2015,XOM,-0.016482,-0.024837
11850,30-06-2015,XOM,-0.023474,-0.023474
11850,31-07-2015,XOM,-0.047957,-0.047957
11850,31-08-2015,XOM,-0.040904,-0.05012
11850,30-09-2015,XOM,-0.011829,-0.011829
11850,30-10-2015,XOM,0.112845,0.112845
11850,30-11-2015,XOM,-0.00423,-0.013053
11850,31-12-2015,XOM,-0.045432,-0.045432
11850,29-01-2016,XOM,-0.001283,-0.001283
11850,29-02-2016,XOM,0.038921,0.029544
11850,31-03-2016,XOM,0.042919,0.042919
11850,29-04-2016,XOM,0.057543,0.057543
11850,31-05-2016,XOM,0.015498,0.007014
11850,30-06-2016,XOM,0.053022,0.053022
11850,29-07-2016,XOM,-0.051099,-0.051099
11850,31-08-2016,XOM,-0.011917,-0.020348
11850,30-09-2016,XOM,0.001607,0.001607
11850,31-10-2016,XOM,-0.045371,-0.045371
11850,30-11-2016,XOM,0.056769,0.047768
11850,30-12-2016,XOM,0.033906,0.033906
11850,31-01-2017,XOM,-0.070574,-0.070574
11850,28-02-2017,XOM,-0.021695,-0.030635
11850,31-03-2017,XOM,0.008485,0.008485
11850,28-04-2017,XOM,-0.00439,-0.00439
11850,31-05-2017,XOM,-0.004654,-0.014085
11850,30-06-2017,XOM,0.002857,0.002857
11850,31-07-2017,XOM,-0.008547,-0.008547
11850,31-08-2017,XOM,-0.036732,-0.046352
11850,29-09-2017,XOM,0.074021,0.074021
11850,31-10-2017,XOM,0.016711,0.016711
11850,30-11-2017,XOM,0.008518,-0.00072
11850,29-12-2017,XOM,0.004202,0.004202
11850,31-01-2018,XOM,0.043759,0.043759
11850,28-02-2018,XOM,-0.123597,-0.132417
11850,29-03-2018,XOM,-0.014919,-0.014919
11850,30-04-2018,XOM,0.042086,0.042086
11850,31-05-2018,XOM,0.055434,0.044887
11850,29-06-2018,XOM,0.018341,0.018341
11850,31-07-2018,XOM,-0.014747,-0.014747
11850,31-08-2018,XOM,-0.00638,-0.01644
